id|first_name|last_name|phone|addr1|addr2|city|state|zipcode|account|details1|amount1|details2|amount2|details3|amount3
34|Lisetta|Itzkovici|704-459-2316|Knutson|7657 Sloan Parkway|Charlotte|NC|28289|3565286172719037|Toys|7290.27|Tools|2469.96|Beauty|9249.94
35|Andeee|Maddaford|757-690-0424|Crowley|0102 Caliangt Crossing|Newport News|VA|23612|5100179485403810|Industrial|6178.92|Automotive|823.80|Grocery|6411.43
36|Brear|Lober|515-703-2323|Magdeline|3 Fair Oaks Pass|Des Moines|IA|50320|3530459055756747|Industrial|2282.71|Beauty|6328.82|Industrial|262.36
37|Alfred|Searsby|530-177-2855|Orin|8 Waubesa Road|Sacramento|CA|95833|5602210688426028|Home|2822.01|Automotive|7045.08|Movies|6349.13
38|Teressa|Smurthwaite|212-504-6386|Helena|84974 Bobwhite Parkway|New York City|NY|10039|3545046507012184|Baby|1875.28|Clothing|9043.82|Garden|4099.71
39|Timothea|Proven|720-789-5721|Atwood|834 Carey Drive|Denver|CO|80299|3554122699850109|Shoes|6440.67|Baby|8301.29|Garden|2723.89
40|Lyndsay|Metts|502-574-6089|Colorado|21535 Nevada Road|Louisville|KY|40256|3548251165069982|Clothing|7678.44|Music|4387.43|Grocery|818.61
41|Andriana|Ornillos|501-610-2255|Bluestem|5177 Southridge Court|North Little Rock|AR|72199|3581078077664149|Electronics|7052.48|Shoes|38.76|Movies|9846.12
42|Winne|Crosse|772-226-0884|Hayes|36218 Lakewood Gardens Road|Fort Pierce|FL|34981|3578472796369467|Home|5212.76|Shoes|7426.62|Automotive|6506.29
43|Chantal|Levett|763-142-5304|Luster|0 Havey Lane|Minneapolis|MN|55402|67611063588670446|Home|8393.47|Outdoors|1394.85|Jewelry|7695.29
44|Dante|Antonopoulos|806-639-9735|Sunnyside|862 Jay Lane|Amarillo|TX|79171|6374527838148358|Shoes|6087.56|Outdoors|5035.11|Grocery|318.91
45|Kinna|Lomas|251-949-4836|Pearson|01 Waywood Alley|Mobile|AL|36628|3566702285294279|Jewelry|6996.95|Books|1697.99|Toys|2519.75
46|Kelsey|Giamitti|317-844-8274|Debs|5 Eggendart Circle|Indianapolis|IN|46295|5007665024224737|Baby|631.81|Tools|6485.40|Sports|5319.34
47|Tallulah|Surmeir|907-395-4334|Elmside|57 Blaine Lane|Anchorage|AK|99599|36090383112769|Health|6081.71|Tools|320.61|Kids|6538.21
48|Jakie|Sheran|954-762-7102|Express|1539 Granby Court|Fort Lauderdale|FL|33305|3567894632245440|Beauty|9465.25|Clothing|159.87|Shoes|500.48
49|Bat|Grzegorek|213-714-7483|John Wall|9 Knutson Center|Los Angeles|CA|90101|3581482170961222|Electronics|2548.20|Toys|4888.99|Home|9753.20
50|Noel|Harragin|713-103-0330|Main|2003 Canary Crossing|Houston|TX|77218|5336413034186865|Toys|1636.66|Sports|7696.72|Toys|3855.38
51|Janina|Oleshunin|805-168-7158|Badeau|316 Forster Street|Ventura|CA|93005|3532728759938738|Baby|7382.14|Books|5498.10|Automotive|6302.03
52|Thelma|Nutty|937-791-9244|Messerschmidt|69 Riverside Center|Dayton|OH|45432|3530096044647114|Books|9867.87|Electronics|8287.18|Kids|4466.01
53|Kacie|Outright|412-318-6070|Monica|3 Grayhawk Center|Pittsburgh|PA|15286|5641821137833326|Grocery|8898.25|Industrial|2561.55|Baby|2719.42
54|Carmelle|Balharrie|608-367-5343|Park Meadow|98 Oakridge Street|Madison|WI|53705|3537316838220933|Shoes|9943.76|Jewelry|2575.50|Music|7824.93
55|Justen|Grindall|281-627-7038|Armistice|03 Fairview Junction|Houston|TX|77020|201743235443316|Electronics|9106.96|Tools|7547.86|Books|2144.22
56|Ora|Winslade|901-520-1310|Grover|8 Kedzie Center|Memphis|TN|38188|3553245902707773|Electronics|495.22|Industrial|8407.66|Kids|4781.65
57|Grissel|Roseveare|626-241-6736|Morningstar|0003 Green Ridge Court|Los Angeles|CA|90071|30124434643617|Music|1854.69|Automotive|1788.31|Home|7299.81
58|Gordon|Lambotin|203-548-5424|Melvin|9 Anhalt Street|New Haven|CT|06520|06045644460585770|Movies|550.03|Grocery|6126.92|Clothing|1190.92
59|Thurston|Poulgreen|202-889-1591|La Follette|96073 Vera Hill|Washington|DC|20067|3553030633155843|Toys|6275.58|Shoes|8354.29|Industrial|1558.88
60|Waylen|Marle|515-890-2320|Grover|96 Haas Way|Des Moines|IA|50393|50203908948196864|Books|3807.43|Beauty|4102.19|Shoes|5949.08
61|Sayre|Chasteau|570-885-8989|3rd|95 Amoth Way|Wilkes Barre|PA|18768|5602216486662342|Toys|7623.71|Industrial|586.93|Jewelry|3105.65
62|Kendall|Furbank|406-283-7579|Westport|35606 Merchant Circle|Bozeman|MT|59771|5554957455590737|Industrial|7259.58|Industrial|7618.52|Outdoors|8390.33
63|Farley|Callington|714-163-8682|Hazelcrest|16 Monica Place|Garden Grove|CA|92645|5160023600124173|Toys|7107.74|Computers|8219.47|Shoes|2894.83
64|Gaile|Keatley|212-853-1326|Norway Maple|201 Kinsman Pass|New York City|NY|10125|3555362209057006|Books|6250.31|Outdoors|2352.97|Games|9684.61
65|Kip|Castanares|941-178-1575|Prairieview|2752 Moland Plaza|Bonita Springs|FL|34135|5602211370863643|Industrial|3449.33|Beauty|7039.45|Sports|5055.90
66|Clim|Breede|502-258-8882|Kropf|40 Mendota Avenue|Louisville|KY|40233|5641829210088887914|Jewelry|3155.12|Tools|992.29|Automotive|6665.22
67|Illa|McTrustam|818-868-9041|Dahle|4217 Luster Parkway|Glendale|CA|91210|5048377624285271|Home|2676.23|Shoes|2691.07|Grocery|5635.44
68|Durante|Arnoldi|717-691-6179|Texas|189 Darwin Circle|York|PA|17405|5338176815126800|Industrial|8036.37|Movies|4091.82|Jewelry|2377.08
69|Brod|Hanselmann|412-265-2224|Fairfield|02904 Mariners Cove Parkway|Pittsburgh|PA|15279|6304482491730838180|Beauty|1137.11|Clothing|4006.75|Tools|7164.90
70|Neil|Ryce|703-933-9719|Kipling|410 Burning Wood Way|Washington|DC|20041|5562792689269562|Music|3437.22|Sports|9187.85|Games|451.53
71|Cordie|Hughs|941-268-8516|Derek|5 John Wall Terrace|Bradenton|FL|34282|676716511948417595|Health|6095.94|Sports|8824.83|Grocery|7346.75
72|Karlotte|Dregan|501-411-4026|Main|98 Lerdahl Terrace|Hot Springs National Park|AR|71914|374622827057315|Baby|7107.97|Sports|248.78|Toys|7966.65
73|Barty|Nottingham|571-914-2426|Graceland|058 Mockingbird Drive|Vienna|VA|22184|490330191687229659|Health|8355.35|Shoes|4659.45|Computers|7259.01
74|Warren|Chiplin|806-491-3693|Straubel|55194 Laurel Drive|Amarillo|TX|79159|6380202091936921|Music|6420.72|Shoes|6284.21|Beauty|134.08
75|Linus|Rannie|714-692-3298|Golf Course|06580 Johnson Hill|Santa Ana|CA|92725|6763806597292000914|Shoes|27.34|Sports|8543.57|Health|6367.95
76|Ceil|Whitmell|913-758-4707|Aberg|16 Florence Point|Kansas City|KS|66105|670639745304190282|Tools|4610.39|Computers|635.72|Computers|3262.94
77|Antonella|Moulds|818-108-2169|Armistice|222 Dorton Crossing|Northridge|CA|91328|3538618695049456|Music|8169.63|Beauty|3450.59|Toys|9432.41
78|Dickie|Fasham|408-675-6701|Sunbrook|6 Columbus Avenue|San Jose|CA|95155|5007666959655200|Garden|6772.35|Outdoors|3245.10|Shoes|5834.47
79|Clare|Feldon|321-347-0007|Moose|6365 Homewood Circle|Melbourne|FL|32919|560225093145406259|Games|5436.77|Music|7170.27|Tools|6892.76
80|Vincenty|Janjusevic|205-900-6609|Aberg|3 Oak Valley Parkway|Birmingham|AL|35295|30578010079050|Baby|367.23|Outdoors|4617.55|Garden|3961.71
81|Bancroft|Ings|915-928-5207|Warner|4562 Norway Maple Avenue|El Paso|TX|88519|3588126758129941|Baby|9373.51|Clothing|3009.81|Home|405.63
82|Luigi|Besse|360-511-8784|Raven|98 Hoepker Pass|Seattle|WA|98109|4026024390256859|Shoes|3842.62|Outdoors|8456.41|Home|7486.62
83|Lorens|Siemens|214-941-9659|Elka|07136 Green Ridge Alley|Garland|TX|75044|5602251238316715|Music|5571.02|Computers|1774.43|Grocery|9371.58
84|Gabbey|Capstaff|661-320-2414|Farmco|5 Weeping Birch Drive|Bakersfield|CA|93386|3549755589570028|Industrial|3749.50|Music|2098.13|Garden|2236.90
85|Essie|Bernolet|212-301-7764|Sheridan|8843 David Point|Brooklyn|NY|11247|5610772540426934|Kids|9591.77|Games|8157.38|Movies|4328.00
86|Pamela|Kleinpeltz|609-862-6870|Heath|219 Randy Junction|Trenton|NJ|08650|633429859671438380|Toys|547.40|Outdoors|7656.69|Jewelry|6013.99
87|Lauren|Adamsson|804-370-2206|Grasskamp|370 Vahlen Way|Richmond|VA|23289|3547128120395556|Automotive|8265.29|Sports|6073.30|Music|8654.27
88|Emelyne|Aumerle|571-919-9620|Elmside|08303 Continental Street|Ashburn|VA|22093|5602239772646536925|Tools|8032.58|Industrial|1987.89|Clothing|1271.34
89|Leanora|Prentice|404-998-8074|Fairview|92661 Fisk Hill|Atlanta|GA|30380|3586085837692661|Beauty|121.16|Tools|6936.71|Garden|6965.28
90|Kristofer|Costar|818-584-2399|Banding|5833 Burning Wood Way|Northridge|CA|91328|6759001590787378|Shoes|2231.23|Automotive|642.25|Electronics|8317.82
91|Viole|Gormally|513-454-9492|Mallory|40592 New Castle Drive|Cincinnati|OH|45296|6771397535979813|Computers|59.44|Industrial|3340.80|Shoes|147.29
92|Ernestine|Gaskamp|484-387-6598|Milwaukee|8 Pierstorff Plaza|Valley Forge|PA|19495|490597885531731145|Books|3548.29|Home|7803.59|Toys|5226.28
93|Abie|Turmall|816-712-1176|Dexter|535 Boyd Lane|Kansas City|MO|64109|5100139616853390|Computers|9590.36|Automotive|5913.02|Shoes|3180.29
94|Ethe|McNaught|410-313-8702|Logan|86 Oak Valley Hill|Baltimore|MD|21290|201401363171353|Automotive|4027.70|Grocery|7467.36|Kids|8828.16
95|Jephthah|Wildey|757-806-3097|Homewood|3 Scoville Drive|Virginia Beach|VA|23459|5481326090691730|Garden|191.04|Baby|2850.10|Shoes|2216.24
96|Stefan|Chamney|423-694-2216|Kensington|60 Hintze Hill|Chattanooga|TN|37450|337941015255507|Computers|4126.12|Books|6258.54|Automotive|8925.60
97|Anissa|Longworthy|818-641-7503|Grover|2853 Bashford Street|Glendale|CA|91205|3567934588729664|Tools|1708.21|Automotive|6822.60|Books|1219.81
98|Wake|Boyne|570-485-5349|Bartillon|75912 Hazelcrest Road|Wilkes Barre|PA|18768|5364981582401451|Shoes|3412.27|Sports|6569.27|Industrial|4054.72
99|Kayley|Micka|303-154-3993|Evergreen|49 Waxwing Circle|Denver|CO|80249|3541527321007116|Tools|4098.44|Kids|8341.83|Sports|8318.31
100|Westbrook|Mouser|402-273-4551|Orin|47 Fulton Place|Lincoln|NE|68517|3559424627213631|Grocery|3537.43|Books|4916.11|Music|3782.39
101|Berni|Berford|216-177-1768|Cottonwood|82908 Corben Circle|Cleveland|OH|44197|3559554055870658|Toys|1868.70|Baby|4245.73|Music|7026.23
102|Patrica|Quipp|206-278-9810|Shopko|08224 Merchant Drive|Seattle|WA|98166|5018845941369123|Automotive|4986.31|Beauty|3207.83|Clothing|1358.25
103|Jabez|Cawthery|951-755-1154|Longview|98154 Westend Street|Corona|CA|92883|3538841936425463|Baby|1561.15|Outdoors|3730.47|Grocery|6990.86
104|Bruno|Allbrook|404-107-7392|Crest Line|39 Ramsey Trail|Atlanta|GA|31136|561038160356244318|Books|9832.10|Music|1232.56|Home|3624.91
105|Allistir|Linster|916-189-3143|David|33899 4th Alley|Sacramento|CA|94291|3547328335587399|Health|2319.75|Home|335.44|Computers|7778.99
106|Sophronia|Christaeas|212-718-8190|Dovetail|3238 Pleasure Street|Jamaica|NY|11499|5002353739677623|Grocery|4154.59|Kids|7775.72|Industrial|4087.42
107|Lara|Hanwright|314-767-2291|Heath|4 Artisan Road|Saint Louis|MO|63167|3543942551750251|Music|1297.20|Sports|3789.34|Electronics|4929.38
108|Clayton|Strelitz|609-203-9811|Oxford|5560 Ridgeview Street|Trenton|NJ|08650|3534568806487414|Kids|3175.41|Beauty|2288.57|Automotive|6268.52
109|Idelle|Ilewicz|305-669-7591|American|1 Morrow Alley|Boca Raton|FL|33487|3584338007659701|Electronics|8297.03|Music|4599.53|Clothing|8448.07
110|Warden|Beeston|754-859-9034|Summerview|62 Clove Avenue|Pompano Beach|FL|33075|4017956358584|Games|5683.74|Electronics|7161.45|Automotive|2164.58
111|Rubetta|Creeghan|316-690-3293|Onsgard|696 Burrows Alley|Wichita|KS|67220|3540705334718371|Music|2324.98|Clothing|8936.79|Music|956.88
112|Emylee|Goodnow|312-104-1027|Logan|63022 Vernon Street|Chicago|IL|60669|67637698155539985|Computers|5186.63|Toys|7212.21|Music|2908.17
113|Bibby|Skeermor|713-710-3688|Londonderry|94686 Melby Drive|Houston|TX|77025|3588989198359737|Kids|5644.31|Toys|5754.89|Beauty|8498.39
114|Chelsea|Pickthorne|310-951-9470|Carioca|521 Sage Parkway|Torrance|CA|90505|633341535714165074|Games|3801.78|Beauty|7696.49|Beauty|8407.67
115|Pippy|Reuben|336-293-5620|Nobel|0 Warrior Avenue|Winston Salem|NC|27157|3543489396642277|Baby|6760.76|Tools|6745.68|Movies|5496.45
116|Conrade|Barras|214-324-0590|Maryland|886 Anderson Drive|Irving|TX|75037|6759821646801235740|Beauty|7896.07|Books|9819.25|Health|504.83
117|Saunders|Dyerson|772-517-8993|Bultman|98929 Boyd Park|Fort Pierce|FL|34981|3530409525389033|Toys|414.51|Grocery|8805.85|Automotive|4630.27
118|Joshia|Scrancher|814-863-3111|Corben|609 Sommers Point|Erie|PA|16565|4844001243196532|Music|957.50|Toys|8675.22|Movies|844.86
119|Caitlin|Mussolini|412-115-1092|Atwood|49 Waubesa Hill|Pittsburgh|PA|15286|5048371744258086|Shoes|5454.89|Automotive|1177.78|Movies|7971.16
120|Celestina|Coller|843-470-1417|Claremont|1 Commercial Circle|Charleston|SC|29416|201727155783215|Beauty|902.52|Tools|233.69|Industrial|3394.09
121|Abbi|Adamec|318-985-5096|Gateway|0 Veith Junction|Shreveport|LA|71137|374288334999090|Toys|9430.24|Books|2553.09|Baby|2347.00
122|Agustin|Gipp|806-788-2147|Utah|9634 Briar Crest Park|Lubbock|TX|79415|5602247116799790|Grocery|9821.65|Music|5428.60|Movies|5698.47
123|Maxi|Lighterness|309-890-4231|Starling|3317 Park Meadow Place|Carol Stream|IL|60158|374283166388751|Electronics|9511.27|Grocery|7420.97|Health|7223.50
124|Ave|Nutten|864-521-4793|Paget|4 Larry Plaza|Greenville|SC|29610|5213205300911408|Computers|2124.02|Kids|3910.31|Grocery|1562.33
125|Elly|Rizzolo|210-537-6436|Orin|18203 Spaight Parkway|San Antonio|TX|78230|5455301365488064|Movies|3294.45|Electronics|8150.74|Jewelry|6967.42
126|Justinian|Prout|612-314-1330|Lunder|36491 Waubesa Terrace|Minneapolis|MN|55423|3561948214213816|Electronics|8711.15|Outdoors|7132.01|Books|7332.91
127|Fan|Kyte|860-978-2341|Main|87831 Petterle Street|West Hartford|CT|06127|4844207341910571|Kids|3185.65|Clothing|2752.10|Books|7255.09
128|Derby|Handslip|626-208-6636|Dahle|4 Mockingbird Park|Pasadena|CA|91131|3579155989321747|Games|1730.88|Tools|2969.57|Outdoors|9584.40
129|Chelsae|Eberst|251-435-8289|Bashford|04 Hauk Junction|Mobile|AL|36641|4911715242480427689|Books|1020.88|Movies|2050.06|Electronics|5242.08
130|Claudie|Owain|413-567-2349|Valley Edge|8090 Rusk Plaza|Springfield|MA|01114|5100173866902490|Books|4955.82|Games|9218.06|Music|1048.13
131|Clary|Hoggins|718-901-3932|Forest|9 Hollow Ridge Lane|Staten Island|NY|10305|374622211254791|Kids|3933.17|Clothing|8786.26|Health|4777.07
132|Aldo|Coggin|504-689-6991|Dahle|5 Coolidge Park|New Orleans|LA|70174|3584143708742131|Outdoors|5508.79|Home|1618.53|Garden|9448.56
133|Annissa|Bosquet|251-148-3784|David|61986 Randy Parkway|Mobile|AL|36689|560225406415756825|Games|1402.98|Garden|7182.76|Beauty|5643.81
134|Veriee|Lothean|203-996-4875|Sullivan|602 Redwing Trail|Stamford|CT|06905|6381511188521985|Games|8045.27|Garden|2099.96|Home|9803.39
135|Dominick|Rehorek|423-528-9527|Hoepker|731 Colorado Place|Chattanooga|TN|37405|3538275839848937|Outdoors|2688.75|Automotive|60.71|Music|337.89
136|Kristoffer|Jago|360-760-0519|American Ash|487 Doe Crossing Circle|Seattle|WA|98104|6390147444320398|Outdoors|3855.82|Music|8900.48|Tools|43.08
137|Claudetta|Harp|504-475-0778|Johnson|1897 Kingsford Place|New Orleans|LA|70142|6709004029974881|Beauty|240.01|Outdoors|5156.55|Movies|7487.76
138|Wallache|Astall|304-744-7279|Armistice|375 Menomonie Parkway|Huntington|WV|25726|3530150775193952|Tools|9506.47|Music|6157.90|Industrial|2319.76
139|Erica|Gibbonson|937-312-7650|Bowman|873 Lighthouse Bay Alley|Dayton|OH|45408|58930998326977459|Beauty|7423.29|Baby|5284.90|Sports|7277.14
140|Marinna|Rosenbarg|518-630-5760|Memorial|0 Prentice Drive|Albany|NY|12232|5457862244663647|Computers|2856.06|Toys|4433.35|Outdoors|6941.41
141|Alfreda|Whyler|513-661-9727|Sunnyside|71 Lindbergh Terrace|Cincinnati|OH|45999|5602244401775957|Grocery|7650.33|Movies|6042.17|Sports|6695.68
142|Fidela|Currell|757-463-8003|Claremont|9556 Sycamore Street|Chesapeake|VA|23324|3538584352041113|Shoes|5566.34|Outdoors|2310.66|Jewelry|2808.47
143|Krystal|Browning|412-226-2980|Scoville|4 Carioca Avenue|Pittsburgh|PA|15286|3572876295457365|Music|2319.61|Baby|1330.84|Automotive|3580.52
144|Blythe|Binge|806-654-4159|Dovetail|2 Reinke Street|Lubbock|TX|79452|63044219470499742|Beauty|9557.00|Games|2286.99|Outdoors|2594.83
145|Krishna|Edgeworth|901-116-7370|Northfield|179 Sommers Street|Memphis|TN|38143|0604647763585488084|Clothing|7011.65|Kids|7793.81|Electronics|4757.48
146|Allayne|Shoebotham|913-823-0186|Sunfield|218 Rockefeller Crossing|Kansas City|KS|66105|337941585607749|Clothing|8006.46|Home|4249.84|Industrial|5480.60
147|Francisca|Hilhouse|202-968-2440|Gerald|72 Luster Parkway|Washington|DC|20022|5641824576046219662|Books|5794.69|Automotive|9586.21|Outdoors|7419.01
148|Quintana|Hillen|415-975-3450|Nancy|67935 Del Mar Lane|San Francisco|CA|94142|3585383040662519|Home|7250.76|Kids|8831.98|Grocery|5111.03
149|Ilyssa|Meikle|561-551-8896|Caliangt|2468 Towne Pass|Delray Beach|FL|33448|5556036861517044|Clothing|9790.03|Industrial|3776.82|Industrial|9436.59
150|Maegan|Veall|786-662-2609|Amoth|3 Clemons Parkway|Miami|FL|33142|370777883725934|Shoes|1467.83|Books|9015.77|Movies|9428.61
151|Starlin|Broddle|813-697-9226|Hooker|02 Harper Trail|Tampa|FL|33605|3563927586061852|Jewelry|2382.68|Computers|3373.93|Movies|4505.87
152|Herb|Barfitt|630-166-1182|Hoepker|7992 Sullivan Road|Chicago|IL|60604|36955598295049|Garden|8010.68|Books|9173.92|Industrial|6584.44
153|Thomasin|Steagall|208-564-4606|Hanson|3 Lighthouse Bay Crossing|Pocatello|ID|83206|5610373432903385|Jewelry|6064.93|Computers|6239.22|Games|3611.80
154|Constantin|Esseby|203-194-1377|Rigney|6 Amoth Court|Stamford|CT|06912|4905756036715384943|Toys|6660.77|Games|4223.67|Games|1892.80
155|Easter|Jeanet|281-815-7606|Sommers|0 Eagan Terrace|Houston|TX|77070|4205408431253|Sports|8159.98|Automotive|2746.67|Industrial|4518.45
156|Bevon|MacKee|954-341-2628|Stephen|7 Glacier Hill Drive|Fort Lauderdale|FL|33315|3542833252171189|Shoes|5730.36|Sports|4337.45|Beauty|1348.28
157|Claudianus|Matschuk|760-966-1490|Straubel|5 Crescent Oaks Circle|San Diego|CA|92127|3548531177593388|Music|8520.28|Clothing|3244.13|Games|8646.90
158|Vivien|Brooksbie|805-108-0922|Dixon|9 West Drive|San Luis Obispo|CA|93407|4911880199250452|Home|2956.08|Books|5701.55|Music|5442.41
159|Gardiner|Hauch|618-229-1986|Bashford|450 Grasskamp Plaza|East Saint Louis|IL|62205|6384931526909469|Books|7777.26|Electronics|7781.54|Outdoors|6962.72
160|Trista|Dauber|972-706-9565|Cody|9 School Point|Dallas|TX|75246|5602221389595425|Clothing|8450.49|Toys|5976.93|Jewelry|2940.90
161|Patti|Hunnable|609-461-7136|Knutson|59 Vernon Avenue|Trenton|NJ|08638|5546191063069550|Jewelry|4701.13|Clothing|7041.47|Health|3048.99
162|Malanie|Tander|757-762-1315|Green Ridge|860 Bluejay Trail|Suffolk|VA|23436|5602245152563534|Music|9721.98|Kids|2443.57|Baby|2647.07
163|Jacky|Gleed|202-558-4162|Crownhardt|32219 8th Road|Washington|DC|20067|3565059751088334|Industrial|1525.25|Music|6505.87|Electronics|5220.93
164|Kira|Flanagan|210-397-1654|Arizona|5 Elgar Road|San Antonio|TX|78215|3556787654745540|Baby|796.01|Sports|5035.73|Outdoors|14.90
165|Malissa|Dawnay|541-755-5022|Sloan|502 Melrose Hill|Eugene|OR|97405|4903686594889434|Beauty|3964.29|Games|1211.86|Music|883.18
166|Aurlie|Huertas|205-204-8603|Everett|67694 Scoville Way|Birmingham|AL|35244|374622006574270|Tools|3986.84|Grocery|6129.29|Games|5264.14
167|Celisse|Hassall|202-508-2674|Bay|5 Superior Alley|Washington|DC|20580|3528739002467652|Sports|5684.05|Games|1667.80|Games|8306.86
168|Judith|Wyley|601-175-0318|Toban|37 Duke Hill|Jackson|MS|39216|3584688318762267|Beauty|7718.55|Health|5621.28|Grocery|866.19
169|Demetris|Bartlomiejczyk|801-983-5554|Sherman|61 Burning Wood Road|Provo|UT|84605|5100140684938378|Baby|9320.31|Automotive|3291.01|Health|8889.51
170|Zara|Marsham|559-398-7517|Buhler|4 Grasskamp Alley|Fresno|CA|93794|3572538402978119|Computers|8899.34|Outdoors|3534.58|Electronics|9545.70
